customer_id,join_date,region
1,2023-01-31,East
2,2023-12-30,South
3,2022-05-10,North
4,2023-07-18,North
5,2023-02-04,West
6,2022-12-31,North
7,2024-09-20,North
8,2022-11-10,East
9,2024-06-26,East
10,2020-05-01,West
11,2021-04-11,West
12,2023-05-23,South
13,2020-11-26,North
14,2024-01-22,East
15,2020-03-28,East
16,2023-10-28,North
17,2023-01-28,West
18,2022-05-21,East
19,2024-08-14,West
20,2020-05-10,East
21,2024-08-12,East
22,2023-08-25,South
23,2022-02-08,East
24,2020-12-09,North
25,2024-02-24,North
26,2023-12-08,North
27,2022-03-16,West
28,2021-01-20,East
29,2023-04-30,West
30,2022-08-13,South
31,2020-10-03,East
32,2023-03-30,North
33,2021-04-04,South
34,2023-08-30,South
35,2020-01-22,East
36,2020-09-09,North
37,2022-01-17,West
38,2022-05-06,East
39,2024-05-03,North
40,2021-04-19,South
41,2022-12-18,East
42,2021-05-25,South
43,2024-09-01,North
44,2024-02-08,West
45,2021-11-30,West
46,2022-09-02,South
47,2024-12-11,South
48,2020-07-08,South
49,2022-08-15,East
50,2021-11-17,North
51,2022-08-15,South
52,2021-07-16,South
53,2025-03-14,South
54,2024-05-09,West
55,2023-06-21,South
56,2022-04-11,North
57,2024-03-08,West
58,2023-02-28,North
59,2024-02-17,West
60,2025-01-16,West
61,2021-10-08,East
62,2020-01-21,West
63,2022-04-20,West
64,2020-06-15,North
65,2023-07-21,North
66,2021-01-22,South
67,2021-08-23,East
68,2020-11-11,West
69,2020-01-14,East
70,2020-08-29,South
71,2022-02-15,East
72,2023-10-01,West
73,2021-07-18,North
74,2022-06-16,East
75,2023-09-25,West
76,2020-04-01,South
77,2023-10-22,West
78,2022-08-13,East
79,2024-01-18,West
80,2023-12-22,West
81,2021-05-23,East
82,2022-02-14,East
83,2025-05-20,South
84,2020-02-04,West
85,2020-07-24,North
86,2023-01-09,East
87,2025-05-09,West
88,2024-05-04,North
89,2025-03-10,North
90,2023-11-12,West
91,2022-10-22,West
92,2022-10-18,West
93,2023-11-14,North
94,2021-07-19,West
95,2023-02-03,East
96,2024-11-30,North
97,2025-01-19,East
98,2024-02-09,East
99,2021-12-03,West
100,2021-02-05,East
101,2021-12-30,West
102,2024-04-28,North
103,2020-06-10,East
104,2020-07-20,West
105,2025-06-04,South
106,2022-09-22,West
107,2020-09-26,South
108,2025-03-01,West
109,2022-03-26,South
110,2023-07-18,East
111,2021-03-31,South
112,2024-01-25,East
113,2024-10-16,East
114,2023-06-29,West
115,2022-10-13,East
116,2024-09-21,North
117,2020-10-22,South
118,2024-10-14,West
119,2021-12-20,East
120,2024-11-07,South
121,2020-12-03,South
122,2022-05-28,North
123,2022-12-12,South
124,2022-03-02,West
125,2025-04-29,West
126,2020-08-04,East
127,2022-02-02,East
128,2020-07-06,West
129,2021-01-14,South
130,2021-05-07,South
131,2022-11-30,North
132,2023-03-26,East
133,2020-01-15,South
134,2025-01-10,South
135,2020-03-05,East
136,2025-02-23,West
137,2025-02-05,South
138,2021-06-04,North
139,2023-09-29,South
140,2023-02-26,South
141,2021-10-09,North
142,2024-02-04,West
143,2022-12-22,North
144,2023-03-08,North
145,2024-03-02,East
146,2021-08-15,South
147,2021-01-26,West
148,2024-08-25,South
149,2021-02-22,West
150,2020-10-15,North
151,2021-01-13,East
152,2024-12-01,North
153,2024-02-22,South
154,2020-08-18,East
155,2022-10-14,East
156,2020-02-10,South
157,2022-11-17,West
158,2020-05-14,East
159,2020-07-19,West
160,2025-02-06,West
161,2022-02-18,West
162,2022-07-18,East
163,2022-11-22,North
164,2022-12-07,East
165,2021-05-17,North
166,2021-02-10,East
167,2024-05-16,North
168,2024-10-17,North
169,2022-03-15,East
170,2020-04-08,West
171,2021-11-14,West
172,2025-03-10,North
173,2021-12-26,South
174,2024-04-19,South
175,2022-08-18,East
176,2024-10-28,East
177,2021-09-04,East
178,2025-05-20,South
179,2024-01-25,West
180,2021-10-04,East
181,2024-11-27,East
182,2022-10-25,West
183,2023-05-26,North
184,2021-05-17,East
185,2022-02-05,South
186,2021-02-01,South
187,2022-05-20,East
188,2022-03-05,South
189,2021-01-27,West
190,2020-07-25,North
191,2022-11-04,North
192,2025-02-24,East
193,2024-04-26,East
194,2022-06-10,North
195,2024-01-24,North
196,2024-09-10,East
197,2024-05-17,South
198,2022-05-13,East
199,2022-01-12,West
200,2023-06-18,East
201,2021-07-17,East
202,2022-10-17,East
203,2020-04-05,East
204,2025-04-07,East
205,2024-10-23,East
206,2021-04-29,South
207,2023-12-01,East
208,2020-08-18,North
209,2022-01-18,East
210,2024-08-05,South
211,2023-04-09,West
212,2021-06-24,North
213,2022-11-25,East
214,2021-06-08,East
215,2023-03-29,North
216,2025-02-05,East
217,2024-09-18,South
218,2023-06-20,East
219,2023-01-14,West
220,2024-12-24,South
221,2021-07-31,East
222,2021-11-12,West
223,2021-07-10,North
224,2024-05-16,South
225,2025-05-30,East
226,2022-10-09,East
227,2021-10-07,North
228,2022-03-06,North
229,2022-11-17,South
230,2024-07-01,South
231,2024-04-28,South
232,2023-09-25,East
233,2024-12-26,East
234,2025-06-04,South
235,2023-09-16,East
236,2024-07-21,North
237,2024-03-09,West
238,2023-10-03,East
239,2024-02-05,South
240,2023-06-08,East
241,2020-07-08,North
242,2023-06-02,South
243,2023-11-09,West
244,2023-11-01,South
245,2023-07-30,South
246,2025-06-04,South
247,2021-09-24,East
248,2021-09-19,West
249,2022-08-30,North
250,2024-11-03,East
251,2023-07-06,West
252,2023-10-14,West
253,2021-12-10,East
254,2024-01-19,South
255,2023-12-05,West
256,2021-10-10,North
257,2020-11-13,East
258,2024-08-27,West
259,2023-06-02,North
260,2025-01-16,North
261,2023-06-11,North
262,2021-11-14,North
263,2021-10-25,East
264,2025-06-21,North
265,2025-01-24,East
266,2023-10-29,North
267,2024-08-22,North
268,2024-06-19,East
269,2024-02-04,South
270,2023-06-10,West
271,2024-09-11,West
272,2023-02-10,East
273,2025-01-27,North
274,2024-02-29,East
275,2021-03-17,North
276,2021-07-17,East
277,2023-07-15,West
278,2024-03-13,East
279,2025-01-04,West
280,2023-11-10,West
281,2023-11-11,West
282,2023-02-10,East
283,2024-06-24,South
284,2024-07-06,East
285,2022-08-09,East
286,2023-01-09,South
287,2021-11-29,South
288,2020-04-22,West
289,2020-01-02,North
290,2021-10-03,North
291,2020-08-07,West
292,2024-05-08,East
293,2022-05-04,North
294,2024-10-25,East
295,2023-06-02,South
296,2021-01-19,South
297,2023-11-27,West
298,2024-07-19,East
299,2023-02-27,West
300,2022-12-12,North
301,2024-09-03,North
302,2021-12-30,North
303,2024-08-22,East
304,2024-09-29,West
305,2023-12-10,West
306,2020-09-03,North
307,2022-04-15,West
308,2024-01-02,South
309,2020-07-21,South
310,2023-04-22,South
311,2020-05-02,South
312,2021-02-04,West
313,2022-02-05,South
314,2020-10-20,South
315,2020-10-06,South
316,2025-02-03,South
317,2022-06-02,South
318,2024-06-21,East
319,2020-07-16,East
320,2022-09-08,South
321,2025-04-14,South
322,2024-03-14,West
323,2022-01-21,South
324,2020-05-23,North
325,2021-08-31,East
326,2023-05-09,South
327,2023-02-21,East
328,2020-07-05,South
329,2023-09-11,North
330,2021-04-08,South
331,2023-10-04,East
332,2024-11-29,East
333,2021-10-21,East
334,2022-02-02,West
335,2022-08-12,East
336,2025-05-09,South
337,2021-02-06,North
338,2023-10-01,North
339,2025-06-09,South
340,2024-03-14,West
341,2020-05-26,South
342,2023-03-17,East
343,2022-05-13,West
344,2024-09-30,South
345,2025-01-17,West
346,2021-05-03,North
347,2022-07-17,South
348,2025-05-13,South
349,2024-07-21,North
350,2021-07-04,West
351,2020-12-03,North
352,2022-05-21,West
353,2021-10-02,South
354,2024-12-07,West
355,2025-05-30,West
356,2021-04-17,East
357,2025-05-23,East
358,2020-05-30,East
359,2023-12-09,North
360,2023-08-14,North
361,2024-06-22,East
362,2020-09-19,South
363,2024-11-22,South
364,2020-05-23,South
365,2020-12-11,North
366,2021-09-15,West
367,2022-10-13,North
368,2024-05-14,East
369,2022-05-30,West
370,2020-01-02,South
371,2022-06-15,North
372,2023-08-20,North
373,2020-09-10,East
374,2024-08-02,South
375,2021-03-28,North
376,2022-11-26,North
377,2023-03-29,West
378,2022-10-11,North
379,2020-01-09,West
380,2023-06-10,North
381,2023-01-27,South
382,2024-08-09,East
383,2022-03-26,South
384,2020-07-26,East
385,2023-02-28,North
386,2021-02-07,South
387,2020-05-31,West
388,2020-02-23,East
389,2023-02-17,East
390,2024-08-23,North
391,2025-04-27,East
392,2021-09-19,East
393,2021-08-09,East
394,2024-07-06,North
395,2025-06-14,South
396,2023-12-14,North
397,2023-12-16,West
398,2020-04-13,East
399,2025-02-18,East
400,2020-09-10,South
401,2023-06-04,East
402,2023-02-09,South
403,2021-05-24,East
404,2024-02-05,East
405,2020-04-08,North
406,2020-06-01,North
407,2025-02-27,West
408,2022-07-02,South
409,2025-04-03,West
410,2022-05-27,North
411,2020-12-03,South
412,2024-09-25,North
413,2022-04-01,South
414,2023-04-01,East
415,2024-10-09,West
416,2022-08-14,West
417,2024-08-31,South
418,2020-06-09,West
419,2024-05-22,North
420,2022-03-11,West
421,2021-02-01,South
422,2023-07-24,West
423,2022-03-26,West
424,2025-04-23,North
425,2024-03-07,East
426,2025-04-03,North
427,2023-11-16,West
428,2023-03-04,West
429,2023-05-03,East
430,2021-02-04,East
431,2021-10-01,North
432,2022-11-22,East
433,2021-11-18,North
434,2021-04-04,South
435,2022-08-12,West
436,2025-03-21,East
437,2021-04-14,South
438,2023-10-30,South
439,2022-11-11,North
440,2022-01-19,North
441,2024-08-20,East
442,2020-02-07,North
443,2020-08-17,South
444,2023-10-20,South
445,2021-07-16,West
446,2021-03-13,South
447,2024-12-04,East
448,2023-07-30,West
449,2020-01-27,North
450,2020-08-13,West
451,2023-07-24,South
452,2022-03-08,East
453,2024-06-20,North
454,2020-10-10,North
455,2022-05-28,South
456,2022-08-17,East
457,2024-02-13,South
458,2021-03-28,South
459,2022-10-16,East
460,2025-01-26,South
461,2022-03-26,East
462,2021-10-20,East
463,2024-03-19,South
464,2021-06-30,South
465,2023-04-30,West
466,2022-12-08,North
467,2024-03-15,North
468,2020-01-17,East
469,2023-04-10,West
470,2023-05-28,East
471,2020-06-06,West
472,2021-04-21,East
473,2022-12-05,North
474,2023-10-28,West
475,2021-06-01,South
476,2020-04-08,South
477,2025-03-30,North
478,2024-11-03,West
479,2022-11-26,South
480,2020-10-06,South
481,2023-10-04,South
482,2021-05-11,North
483,2020-10-28,East
484,2020-06-29,South
485,2021-08-29,South
486,2023-01-27,East
487,2021-11-30,South
488,2022-09-19,West
489,2023-02-13,South
490,2020-07-09,East
491,2020-09-09,North
492,2022-09-07,North
493,2022-07-16,West
494,2023-03-30,South
495,2023-07-03,South
496,2023-09-08,East
497,2020-05-07,East
498,2020-01-18,West
499,2024-12-21,West
500,2024-10-24,South
501,2021-07-19,South
502,2021-07-23,West
503,2023-09-08,North
504,2025-03-10,North
505,2021-11-16,North
506,2024-12-20,North
507,2021-09-17,West
508,2023-08-04,East
509,2025-05-20,North
510,2022-05-03,West
511,2024-08-13,North
512,2022-08-19,South
513,2024-07-20,North
514,2020-06-03,West
515,2021-05-04,South
516,2023-11-10,South
517,2022-02-23,North
518,2023-02-01,North
