ticket_id,customer_id,ticket_date,issue_type
1,46085,2022-03-20,Inquiry
2,21106,2021-06-08,Complaint
3,7929,2022-06-01,Complaint
4,24332,2020-04-16,Inquiry
5,49402,2020-01-12,Inquiry
6,27016,2020-01-27,Inquiry
7,25451,2025-02-11,Inquiry
8,44103,2020-08-28,Inquiry
9,5702,2020-06-18,Inquiry
10,28096,2023-05-25,Inquiry
11,24291,2024-05-26,Inquiry
12,24218,2020-09-05,Complaint
13,25345,2020-09-23,Inquiry
14,6811,2022-02-26,Complaint
15,34463,2021-07-29,Inquiry
16,42359,2022-01-30,Complaint
17,9066,2024-02-15,Complaint
18,11957,2024-06-04,Inquiry
19,43890,2023-11-17,Inquiry
20,30768,2021-03-04,Inquiry
21,6794,2023-07-16,Complaint
22,27804,2021-03-08,Inquiry
23,38156,2022-12-19,Inquiry
24,34882,2024-12-19,Inquiry
25,21842,2023-06-09,Inquiry
26,13429,2020-04-23,Inquiry
27,25981,2021-09-29,Inquiry
28,11454,2020-06-11,Complaint
29,25900,2023-08-16,Complaint
30,45227,2024-07-15,Inquiry
31,10775,2022-03-06,Inquiry
32,17290,2021-06-05,Complaint
33,19345,2023-09-26,Inquiry
34,4017,2023-06-12,Inquiry
35,47290,2023-04-30,Complaint
36,35082,2022-02-02,Inquiry
37,37572,2021-10-05,Inquiry
38,3941,2023-10-17,Inquiry
39,49725,2022-01-16,Inquiry
40,46221,2022-11-22,Inquiry
41,48220,2020-07-20,Complaint
42,14943,2021-05-20,Complaint
43,209,2021-07-25,Complaint
44,44021,2024-04-10,Inquiry
45,40867,2022-05-10,Inquiry
46,35716,2021-03-18,Inquiry
47,32718,2023-11-26,Inquiry
48,19941,2020-11-29,Inquiry
49,39905,2024-08-14,Inquiry
50,22156,2023-10-09,Inquiry
51,25538,2024-05-09,Complaint
52,18758,2023-06-30,Complaint
53,10925,2024-04-26,Complaint
54,11903,2023-10-04,Inquiry
55,29154,2023-10-09,Complaint
56,13426,2023-04-18,Inquiry
57,48808,2025-03-12,Inquiry
58,6859,2024-02-24,Complaint
59,32120,2023-09-04,Inquiry
60,8330,2020-03-12,Complaint
61,27364,2021-08-29,Inquiry
62,16979,2025-05-10,Complaint
