transaction_id,customer_id,transaction_date,amount
1,46749,2023-02-07,9726.7
2,20094,2020-03-20,1405.26
3,48097,2023-12-17,8971.05
4,29545,2023-06-02,6516.21
5,27598,2024-03-20,2094.62
6,23355,2022-04-05,6748.11
7,45593,2023-06-04,8132.3
8,46024,2025-04-20,4988.66
9,30747,2021-02-10,9102.41
10,8726,2021-04-18,5332.18
11,41700,2023-04-12,1935.71
12,26415,2024-07-05,7122.11
13,48332,2021-01-25,6801.22
14,14202,2023-02-02,6440.31
15,18697,2020-03-02,8810.45
16,15414,2020-01-07,5326.66
17,27506,2021-06-10,7071.87
18,30528,2020-05-04,9551.13
19,41334,2025-05-03,1463.86
20,44909,2024-04-04,3926.57
21,19043,2025-06-09,2265.88
22,28071,2022-05-03,3305.97
23,20700,2023-10-23,5154.75
24,49672,2020-11-05,8469.56
25,49515,2023-12-28,4055.15
26,31643,2025-02-05,5623.31
27,34245,2021-08-29,8141.15
28,45680,2021-03-08,9288.49
29,34781,2024-11-19,3561.67
30,36093,2022-03-28,1861.76
31,10145,2020-09-15,5863.22
32,5856,2025-03-24,8968.19
33,24576,2024-06-30,2559.95
34,28885,2021-03-23,5044.53
35,46730,2020-09-03,4911.07
36,45930,2021-07-11,9278.22
37,21648,2025-02-15,4621.41
38,30731,2022-06-01,5408.95
39,33299,2025-04-25,1468.71
40,29120,2023-12-30,4636.53
41,13517,2022-11-26,3483.76
42,19087,2024-07-18,2294.45
43,30052,2022-12-19,5135.87
44,1632,2025-06-09,7731.79
45,26963,2021-03-07,1849.32
46,33615,2021-02-17,1501.54
47,24230,2023-05-24,1330.51
48,46678,2024-06-20,7654.64
49,25933,2022-03-21,7901.98
50,48945,2020-05-17,8898.3
51,18255,2023-09-12,9644.9
52,35015,2022-09-02,3836.36
53,9655,2025-03-02,3470.37
54,2198,2022-10-22,9915.64
55,26539,2024-05-26,1507.21
56,45692,2025-06-21,513.02
57,3603,2024-02-28,3913.07
58,41819,2022-04-14,971.7
59,27794,2024-01-31,3894.15
60,41738,2023-06-03,4174.76
61,41010,2023-06-16,6423.48
62,27185,2020-06-22,7467.01
63,13225,2023-10-28,6513.2
64,28259,2023-04-07,7101.17
65,47503,2022-10-24,3752.97
66,33144,2021-08-21,4619.62
67,16407,2023-11-16,7172.39
68,2673,2024-03-25,1559.34
69,12571,2021-05-26,7149.26
70,33798,2023-02-10,9520.36
71,37144,2023-01-30,1839.16
72,16777,2021-05-31,4004.89
73,47050,2020-03-14,5855.56
74,36286,2021-08-24,7209.7
75,48963,2023-02-10,2595.05
76,25670,2023-01-08,5887.25
77,22509,2024-07-14,9357.04
78,40270,2021-03-18,3638.78
79,8676,2021-03-17,5733.63
80,43818,2021-02-10,6278.44
81,4924,2020-11-12,8884.25
82,28499,2022-07-01,3178.44
83,26800,2023-07-31,8742.24
84,49080,2020-05-25,6767.34
85,32855,2022-03-30,7197.68
86,34412,2021-07-23,756.43
87,8911,2021-11-11,3629.77
88,21217,2024-10-04,1268.18
89,2230,2024-10-27,5659.51
90,35238,2021-05-08,8392.53
91,47763,2021-08-13,4158.87
92,39365,2022-02-07,2333.48
93,2249,2020-12-18,3115.62
94,16967,2023-01-01,5774.56
95,36888,2024-07-01,7698.58
96,33641,2021-10-18,6929.62
97,35152,2021-04-07,9427.49
98,24549,2023-07-07,8850.34
99,36490,2023-01-29,1138.63
100,26069,2020-10-28,7066.53
101,46991,2022-04-17,3997.17
102,13888,2024-03-21,3427.82
103,45197,2020-12-04,4811.22
104,47092,2021-02-10,7686.04
105,6898,2024-06-17,4226.2
106,44279,2020-04-29,8228.68
107,1095,2023-11-09,4772.15
108,4488,2024-03-12,697.75
109,14315,2021-12-13,6340.44
110,42089,2021-12-01,7829.71
111,15270,2025-04-25,3228.22
112,21556,2023-05-01,2299.21
113,18690,2022-06-09,6437.76
114,21989,2025-01-22,3591.16
115,24982,2021-02-23,9067.32
116,34423,2022-11-14,7691.49
117,21366,2024-03-31,4665.81
118,44036,2022-07-10,9758.11
119,22895,2022-01-01,3510.6
120,26631,2021-05-31,4501.75
121,28673,2025-03-18,6524.47
122,12627,2023-03-19,5169.12
123,11962,2022-02-20,3509.44
124,6770,2021-04-01,4236.12
125,40642,2024-01-25,8650.44
126,34871,2021-08-14,2062.27
127,31349,2021-09-30,3244.45
128,3853,2022-09-16,2065.34
129,19289,2022-01-05,5170.87
130,1454,2022-04-17,1692.87
131,25455,2024-12-13,1794.26
132,29049,2023-07-04,8359.5
133,31913,2020-05-25,7059.97
134,42141,2024-05-29,1966.2
135,20904,2022-10-31,3927.99
136,33555,2021-08-26,9177.18
137,12565,2022-02-18,8714.1
138,3220,2020-06-10,6579.47
139,15196,2021-08-14,2911.44
140,7259,2022-10-10,3795.55
141,6700,2024-10-03,6567.18
142,34542,2022-01-31,5648.68
143,27762,2022-01-26,5650.21
144,18427,2025-03-16,4291.37
145,44533,2023-07-01,993.28
146,14507,2021-09-06,1303.32
147,15960,2022-06-22,8369.68
148,20627,2023-05-26,8852.83
149,34394,2022-09-28,8947.62
150,34240,2025-01-07,4798.39
151,17731,2022-01-15,9361.59
152,9307,2020-05-21,8393.4
153,14,2022-08-04,3903.19
154,25748,2021-01-27,2307.85
155,34595,2020-08-28,7312.8
156,28119,2020-03-23,7280.51
157,24985,2023-10-09,8912.77
158,29056,2022-05-28,599.62
159,21892,2023-12-16,3590.43
160,36921,2020-05-07,445.18
161,2562,2025-05-02,2182.65
162,11842,2022-03-07,4056.1
163,43353,2022-11-17,1318.39
164,34671,2024-11-10,8240.63
165,11351,2023-06-18,2108.53
166,41365,2023-09-29,4172.25
167,40685,2023-01-20,8036.63
168,14388,2020-04-15,1255.58
169,32459,2024-11-06,6234.24
170,42958,2023-02-19,9411.08
171,16593,2023-01-04,4597.45
172,46966,2020-12-04,2477.28
173,40878,2020-09-18,9437.69
174,1823,2022-02-08,636.43
175,7742,2021-07-18,3184.82
176,546,2020-09-12,8191.62
177,1128,2022-05-31,1623.97
178,13356,2020-12-24,932.43
179,16631,2023-08-03,4634.27
180,39213,2020-02-06,3384.54
181,620,2021-11-26,7991.88
182,34727,2024-07-11,3437.73
183,27612,2024-02-09,6731.27
184,39450,2021-11-10,5645.92
185,26992,2024-08-02,6010.23
186,9422,2022-01-30,5160.3
187,8549,2021-07-20,1441.06
188,35147,2024-10-26,714.14
189,33653,2024-09-16,5484.59
190,29173,2021-01-01,6529.3
191,9951,2021-11-15,7280.75
192,13032,2020-01-25,7249.19
